10,1,H
16,1,Q
20,1,M
20,2,H
25,1,L
29,2,Q
35,3,H
38,2,M
47,2,L
47,3,Q
50,4,H
61,3,M
64,5,H
67,4,Q
77,3,L
84,6,H
87,5,Q
90,4,M
93,7,H
108,6,Q
114,4,L
122,5,M
122,8,H
125,7,Q
143,9,H
154,5,L
154,6,M
157,8,Q
174,10,H
178,7,M
189,9,Q
195,6,L
200,11,H
221,8,M
221,10,Q
224,7,L
227,12,H
259,11,Q
259,13,H
262,9,M
279,8,L
283,14,H
296,12,Q
311,10,M
321,15,H
335,9,L
352,13,Q
365,16,H
366,11,M
376,14,Q
395,10,L
408,17,H
419,12,M
426,15,Q
452,18,H
468,11,L
470,16,Q
483,13,M
493,19,H
528,14,M
531,17,Q
535,12,L
557,20,H
574,18,Q
587,21,H
600,15,M
619,13,L
640,22,H
644,19,Q
656,16,M
667,14,L
672,23,H
702,20,Q
734,17,M
742,21,Q
744,24,H
758,15,L
779,25,H
816,18,M
823,22,Q
854,16,L
864,26,H
890,23,Q
909,19,M
910,27,H
938,17,L
958,8,H
963,24,Q
970,20,M
1016,29,H
1035,21,M
1041,25,Q
1046,18,L
1080,30,H
1094,26,Q
1134,22,M
1150,31,H
1153,19,L
1172,27,Q
1226,32,H
1248,23,M
1249,20,L
1263,28,Q
1307,33,H
1322,29,Q
1326,24,M
1352,21,L
1394,34,H
1429,30,Q
1431,35,H
1451,25,M
1460,22,L
1499,31,Q
1530,36,H
1542,26,M
1588,23,L
1591,37,H
1618,32,Q
1637,27,M
1658,38,H
1700,33,Q
1704,24,L
1732,28,M
1774,39,H
1787,34,Q
1839,29,M
1852,40,H
1853,25,L
1867,35,Q
1966,36,Q
1990,26,L
1994,30,M
2071,37,Q
2113,31,M
2132,27,L
2181,38,Q
2223,28,L
2238,32,M
2298,39,Q
2369,29,L
2369,33,M
2420,40,Q
2506,34,M
2520,30,L
2632,35,M
2677,31,L
2780,36,M
2840,32,L
2894,37,M
3009,33,L
3054,38,M
3183,34,L
3220,39,M
3351,35,L
3391,40,M
3537,36,L
3729,37,L
3927,38,L
4087,39,L
4296,40,L
